distance,Signal,Error
101,0.9446418028408063,0.02160572064304758
121,0.9437974035489487,0.04172073964644993
151,0.9538842751953701,0.01457175890252081
191,0.9867994295179648,0.010794532812481118
251,1.0,0.013794931138643895
331,1.036083522497514,0.007705442673677181
451,1.0672811816682615,0.011132093053817552
851,1.140091084027819,0.01383169364601164
1081,1.173013090888243,0.008866540221086764
2311,1.2102996332064055,0.015859339288036435
3240,1.2306968971165801,0.014262600934446467
5051,1.2739023489287837,0.017249914154750585
