Function ID, k, MSE
1,2,0.04406840259815569
1,3,0.029824631083115997
1,5,0.014900986763025042
1,10,0.00456753127181905
2,2,0.029028003996593617
2,3,0.0176083286937287
2,5,0.010629209358012492
2,10,0.004505995176079126
3,2,0.030356721874612965
3,3,0.020139482423233795
3,5,0.007863446492605125
3,10,0.0021953752462661996
4,2,0.02684596934988354
4,3,0.013370989872548306
4,5,0.007701825042032196
4,10,0.0027527827098811726
5,2,0.04635578837620433
5,3,0.026101506836224902
5,5,0.014797491838174703
5,10,0.0063149033370303725
6,2,0.009248060793808575
6,3,0.004208515783620883
6,5,0.0020415981693287727
6,10,0.0007400832641674192
7,2,0.0506096892092197
7,3,0.025971628659542365
7,5,0.014584475446432205
7,10,0.006270612426824359
8,2,0.07785943830025703
8,3,0.042327038920827134
8,5,0.00841100364269879
8,10,0.0034425831743387677
9,2,0.015287259130426079
9,3,0.006951646606701351
9,5,0.002955574825488055
9,10,0.0013305178124319258
10,2,0.03589577644077555
10,3,0.022486902114410286
10,5,0.014644713624693023
10,10,0.0068184886360775085
